,feature,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,average
389,M7_F,104,156,104,147,122,130,127.16666666666667
390,M7_T,198,117,144,115,108,111,132.16666666666666
391,M8_F,30,33,49,36,39,37,37.333333333333336
392,M8_T,140,138,135,89,109,100,118.5
393,M9_F,242,200,258,202,158,181,206.83333333333334
394,M9_T,185,199,205,161,156,201,184.5
395,id_12_Found,11,4,3,5,7,13,7.166666666666667
396,id_12_NotFound,4,2,1,3,6,3,3.1666666666666665
397,id_15_Found,2,16,7,5,13,8,8.5
398,id_15_New,74,89,61,46,49,76,65.83333333333333
399,id_15_Unknown,42,33,45,36,23,28,34.5
400,id_36_F,8,9,5,14,3,10,8.166666666666666
401,id_36_T,13,6,5,9,9,21,10.5
402,id_37_F,46,72,53,35,47,31,47.333333333333336
403,id_37_T,20,46,22,20,19,19,24.333333333333332
404,id_38_F,51,105,49,114,151,110,96.66666666666667
405,id_38_T,19,89,73,64,95,70,68.33333333333333
406,DeviceType_desktop,75,87,107,66,67,75,79.5
407,DeviceType_mobile,128,142,145,126,112,180,138.83333333333334
408,OS_id_30_Android,30,16,39,24,26,28,27.166666666666668
409,OS_id_30_Linux,1,10,13,13,9,16,10.333333333333334
410,OS_id_30_Mac,63,47,45,57,37,51,50.0
411,OS_id_30_Windows,21,46,53,54,40,66,46.666666666666664
412,OS_id_30_func,0,0,0,0,0,0,0.0
413,OS_id_30_iOS,4,6,2,1,4,7,4.0
414,OS_id_30_other,0,0,0,0,0,0,0.0
415,P_emaildomain_bin_aol,40,29,15,48,35,24,31.833333333333332
416,P_emaildomain_bin_apple,20,8,36,12,33,29,23.0
417,P_emaildomain_bin_att,87,73,101,63,49,80,75.5
418,P_emaildomain_bin_centurylink,6,1,4,0,14,5,5.0
419,P_emaildomain_bin_google,196,287,230,234,216,241,234.0
420,P_emaildomain_bin_microsoft,307,179,323,168,162,222,226.83333333333334
421,P_emaildomain_bin_other,77,164,138,110,110,121,120.0
422,P_emaildomain_bin_spectrum,4,11,2,0,0,1,3.0
423,P_emaildomain_bin_yahoo,31,40,34,41,24,39,34.833333333333336
424,R_emaildomain_bin_aol,2,5,1,4,9,20,6.833333333333333
425,R_emaildomain_bin_apple,49,46,47,22,15,32,35.166666666666664
426,R_emaildomain_bin_att,24,3,7,3,16,12,10.833333333333334
427,R_emaildomain_bin_centurylink,0,0,0,0,0,0,0.0
428,R_emaildomain_bin_google,220,247,258,249,233,266,245.5
429,R_emaildomain_bin_microsoft,84,88,100,100,83,113,94.66666666666667
430,R_emaildomain_bin_other,134,176,179,168,146,185,164.66666666666666
431,R_emaildomain_bin_spectrum,1,0,5,4,0,9,3.1666666666666665
432,R_emaildomain_bin_yahoo,23,25,17,17,12,28,20.333333333333332
433,P_emaildomain_suffix_com,97,89,63,82,93,102,87.66666666666667
434,P_emaildomain_suffix_de,0,0,1,0,0,0,0.16666666666666666
435,P_emaildomain_suffix_es,11,3,0,4,2,6,4.333333333333333
436,P_emaildomain_suffix_fr,0,0,0,0,0,0,0.0
437,P_emaildomain_suffix_jp,0,0,0,0,0,0,0.0
438,P_emaildomain_suffix_mx,11,12,14,16,17,23,15.5
